   1       0.4604   0.1489   0.2815
   2       0.3823   0.1271   0.2476
   3       0.3516   0.1190   0.2354
   4       0.2025   0.2831   0.5335
   5       0.2121   0.2891   0.5420
   6       0.2194   0.3163   0.5906
   7       0.1366   0.4315   0.8251
   8       0.1456   0.4346   0.8262
   9       0.1501   0.4446   0.8486
  10       0.1268   0.5883   1.1662
  11       0.1306   0.6287   1.2305
  12       0.1391   0.6692   1.3021
  13       0.1503   0.7266   1.4797
  14       0.1572   0.7575   1.5305
  15       0.1662   0.7904   1.5840
  16       0.2220   0.8644   1.7508
  17       0.2284   0.8852   1.7864
  18       0.2341   0.9099   1.8289
  19       0.4616   0.1653   0.3146
  20       0.4730   0.1849   0.3469
  21       0.4950   0.1930   0.3578
  22       0.2125   0.2677   0.5136
  23       0.2101   0.2878   0.5468
  24       0.2220   0.3080   0.5766
  25       0.1426   0.4300   0.8317
  26       0.1535   0.4618   0.8849
  27       0.1734   0.4947   0.9353
  28       0.1317   0.5865   1.1617
  29       0.1367   0.6123   1.2021
  30       0.1468   0.6497   1.2632
  31       0.1570   0.7319   1.4877
  32       0.1667   0.7585   1.5289
  33       0.1775   0.7973   1.5919
  34       0.2262   0.8643   1.7497
  35       0.2377   0.8847   1.7837
  36       0.2448   0.9091   1.8248
  37       0.4635   0.1503   0.2902
  38       0.3897   0.1345   0.2660
  39       0.3888   0.1273   0.2544
  40       0.2143   0.2691   0.5122
  41       0.2362   0.2912   0.5534
  42       0.2540   0.3221   0.6041
  43       0.1379   0.4228   0.8185
  44       0.1374   0.4300   0.8349
  45       0.1413   0.4279   0.8310
  46       0.1273   0.5929   1.1754
  47       0.1402   0.6150   1.2149
  48       0.1520   0.6522   1.2778
  49       0.1576   0.7248   1.4768
  50       0.1688   0.7520   1.5177
  51       0.1755   0.7854   1.5702
  52       0.2216   0.8657   1.7530
  53       0.2304   0.8864   1.7889
  54       0.2376   0.9103   1.8284
  55       0.4788   0.1595   0.3010
  56       0.5275   0.1804   0.3311
  57       0.5800   0.2032   0.3654
  58       0.2158   0.2746   0.5144
  59       0.2408   0.2866   0.5302
  60       0.2699   0.3129   0.5701
  61       0.1450   0.4259   0.8168
  62       0.1715   0.4586   0.8639
  63       0.1975   0.4968   0.9273
  64       0.1239   0.5932   1.1696
  65       0.1356   0.6099   1.1836
  66       0.1515   0.6365   1.2239
  67       0.1520   0.7296   1.4842
  68       0.1574   0.7657   1.5418
  69       0.1696   0.7974   1.5918
  70       0.2170   0.8657   1.7525
  71       0.2159   0.8864   1.7888
  72       0.2224   0.9102   1.8295
